Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
8402,0,0.4269,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",couple cecl s bear perspective dfast stress losses od reference judge reserve adequacy cecl s ask allowance levels stress losses severely adverse scenario adverse scenario true view s personal view dfast useful data fundamental differences obviously differences economic scenarios dfast estimate loss absorb capacity severe downturn estimates conservative losses cecl estimates best es losses life loans economic scenario
12599,7,0.4128,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",s ed perspective sort trajectory deposit cost deposit s obviously deposit s argument ed perspective tim actually rate cuts start filter interest bear deposit costs historically data usually cuts actually start benefit deposit costs little terms deposit migration stops happen interest bear account july quickly actually filters deposit overall deposit cost feel like able filter deposit costs basis 
11101,7,0.3848,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",od sense earn asset yields mov faster happen particular interest rate cycle beginn reprice longer term assets short term assets actually equate happen interest bear deposit rates little deposit particular account fund borrow little fixed rate interest bear funds headroom earn assets basis s rate hike increase interest bear deposit rates pressure interest margin like headroom margins expand deposit rates ed thought threshold calculation
3540,7,0.3549,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", wonder conceptually interest margin stops decide stops seiz school thought banks actually little bounce margin deposit repric mentioned catch worry assets reprice immediately rollover fixed rate assets lower rates gett basis s actual margin conceptually stops bias roughly stable margin deposit repric pressure asset yield rollover
11992,7,0.3479,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",thanks tak s interest sorry deposit terms rates related slide interest bear deposits struggl grow interest bear deposits grow nicely emanat global bank wonder competitive dynamics difficult grow interest bear deposits especially global bank second relat interest bear deposit supplement interest rate paid ne basis s driv sounds like beat develop declin rate environment interest rate guidance yield based static deposit accounts shifts n
7776,4,0.3439,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",okay basis s efficiency savs basis s savs mike bigger picture citigroup invest harvest course invest business loaded investments s consensus estimates wind hav efficiency lower invest mexico invest credit card invest digital bank major investments like come efficiency progress delayed said picture invest versus harvest specifics basic s efficiency saves 
2715,0,0.3431,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", ed cecl related gave od technical issues economic assumptions build reserves bruce kasman economics team second little differently terms attribute cecl reserve builds specific s directional terms attributed sort mechanistic model related changes calibrate model economic scenario versus actual signs stress aren show credit measures reasonably short period s growth try mechanistic actual tangible signs financial stress borrower base emerge reasonably near futures credit losses
7755,7,0.3323,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay helpful deposit cost mean obviously interest bear deposit costs basis s like n limited scope retail wealth commercial proactive com lower start deposit cost competitors begin mean room feel like rate cycle difficult difficult proactive terms lower deposit costs
11607,4,0.3313,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",okay bigger picture words hav target target word target target right direction important direction improvement continu able path particular story investment trad tangible value piece hadn ed tangible value tangible value grow double digits dividend love opinion defensible downturn cycle ccar defensible sustainable dividend grow tangible value progression returns upward trend trad tangible value pretty od bargain ed avenues metrics
8523,7,0.3297,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", little confused deposit glide path future say basis s basis decline interest bear deposit costs decline interest bear deposit costs period occur sort immediate decline drags couple s pric filters like ary banks terms deposit s accelerate decelerate rate cuts rate cuts happen
3465,6,0.3296,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",right perfect second spot little provision expense encourag provision expense control provision expense forward n guidance hard s try necessarily reserve build higher scenario provision expense higher second lower second meanfully lower second fall guidance n today mean ed provision expense meanfully lower middle
11315,3,0.3286,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",everybody build ary leverage broader extent elevated leverage commercial borrowers negatively impact credit demand limit extent loan growth rebounds limit extent loan growth rebounds paydowns normalized economy growth perk capex pick commercial loan growth subdued nominal growth leverage built economy s
9429,7,0.3276,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay interest switch rate environment mentioned floors variable rate loans deposit sounds like room br deposit cost current spot rate deposit cost ations deposit cost lower thanks
9073,0,0.323,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",od morn thanks tak s mark cecl perspectiveness stickiness cecl reserves charge start happen willness release reserves focused reserve builds peak reserves focus happens cadence pace releas reserves declines reserves actual loss start occur mean cecl work backwards n need estimate life losses portfolio charge offs plug loan loss provision
9079,1,0.3227,"term, market, business, change, mortgage, long, customer, month, sale, strategy",okay structural line discussion strategy expand outside state network cross sell mortgage auto customers potentially states states s confidence strategy succeed opposite strategy like national digital bank citigroup ldman sachs morgan tend hear minneapolis competitors miles away com minneapolis cross sell customers backyard defend banks com backyard steal away customers ahead cross sell customers branch present
12279,4,0.322,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",od com profitability addressed issues capital potentially giv capital tailor rules obviously boost s world changed able earn roas high range suggest today regulations deal peak profitability company like today stand stand actually room improvement br north
6926,2,0.3205,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",thanks od morn wonder little structure balance sheet notice cash come balances lower yield parts balance sheet smaller securities portfolio period average episodic purposeful change n movement yield curve lower yield assets forward thanks
9035,4,0.32,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",od morn john s share hear s touched technology spend mentioned million ed expense outsiders hear stories banks tak market share smaller banks s measure keep dollars spend measure keep digital technological stand remain competitive bigger banks metrics outsiders determine keep bigger banks
9986,0,0.3191,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",thank similar spirit interest slide credit divergence criticized assets versus charge offs npls unique peers show mean od experience deferrals mentioned vernment support com delayed normal relationship criticized loss fundamentally altered lowered criticized flow charge offs magnitude normal recession normal recession n economic s 
7174,4,0.3174,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", business absolutely prov od level capital return dynamics prevent tak aggressive stance dividends buybacks prefer bump payout restraints opportunities encourage aggressive simply thoughts today like return capital measures queue
2827,7,0.3149,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay great thank thanks clarify od math totally deposit costs s continue encourag s like likelihood rate hike deteriorated walk deposit cost pressure ations deposit cost increases short term rates continue upward pressure deposit cost ations thanks
5272,0,0.3115,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",quick start credit slide s presented historical charge peak rate crisis obviously performed florida right charge offs gary feel comfortable n severity shock potential length crisis worse 
9054,0,0.3101,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay okay helpful sort frame sort deferral came s like million total sett aside intention aside reserve allocation deferrals ation challenged credits post covid reserve million slide deck s like billion potential exposure hard said mark like try gauge loss content challenge curious reserve adds types exposures roughly 
4113,3,0.3092,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",paul start loan growth able buck trend industry obviously slow loan growth paul mentioned attractive pipeline sustainability loan growth type levels fully understand state comes onboard growth slower terms core cadence potential loan growth 
6441,2,0.3084,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",okay od past flatter yield curve predictor slowdown credit issue slowdown economy recession curve pretty darn flat right economy great curious vantage means balance sheet positioned business wise balance sheet wise concerned flatter curve
